2018-06-07 21:38:52,720 -> 

Iteration Epsilon=50, Mu=5 and Delta=5 has started...
0, 4, 7765 9207 10602 12606 15999
0, 4, 5614 11578 11774 12063 12271 17465 17693 17731
0, 4, 11578 12063 12572 13513 14290 17465 17693
0, 4, 11578 11774 12063 12271 13513 14290 17465 17693 17731
0, 4, 6180 12572 13513 14361 16743 17563
0, 4, 6256 6851 16302 17446 18259
0, 4, 557 5892 9293 10546 12540 15141
0, 4, 557 4695 5892 9293 12540
0, 4, 5585 5679 15085 16780 19456
0, 4, 1414 2537 8997 12483 15880 18732 18898
0, 4, 342 1488 3366 3473 5548 18648
0, 4, 4485 7403 10280 16520 18869
0, 4, 1907 5500 10430 15467 18628
0, 4, 1907 5500 15467 18628 19437
0, 4, 3932 7455 7854 15853 16104
0, 4, 9032 10378 10569 13937 16831 18843
0, 4, 5690 9032 10378 10569 13191
0, 4, 2294 3688 7847 8658 12916
0, 4, 3688 7847 8658 12916 15638
0, 4, 2294 3688 8184 8658 12916
0, 4, 2294 3688 8184 8658 13077
0, 4, 2294 3688 7847 8658 13077
0, 4, 1824 3518 3781 4701 14679 15329
0, 4, 337 1824 3781 4701 14679 15329
0, 4, 4395 8677 10148 11420 13071 13705 18213
0, 4, 8677 10148 11420 13071 13760 18213
0, 4, 4060 9226 10148 13071 13760 18213
0, 4, 1640 2245 7351 9698 15194 17230
0, 4, 1640 2245 4394 7351 9698 17230
0, 4, 97 1640 3211 4394 7351 17230
0, 4, 1640 2245 3211 4394 7351 17230
0, 4, 1640 2245 4394 7351 10458 17230
0, 4, 1640 3211 4394 7351 10458 17230
0, 4, 1640 2245 7351 9698 10458 17230
0, 4, 6259 14011 16782 17444 18552
0, 4, 1013 1098 5432 12675 17591
0, 4, 1098 5432 7746 11940 12675 17591
0, 4, 1346 5438 5891 8994 13718
0, 4, 6662 9031 10431 12718 19434
0, 4, 2031 7526 12470 13302 13873 18041
0, 4, 7526 12470 13873 18041 18235
0, 4, 5649 8877 13088 13790 17856
0, 4, 5137 13626 13742 16169 18464
0, 4, 838 1619 7124 14590 19287
0, 4, 578 3081 6681 9624 15758
0, 4, 1507 7961 8495 9013 13145
0, 4, 2037 4308 6774 12965 15573
0, 4, 2037 3567 4308 6774 9830 15573
0, 4, 1967 5803 7188 10164 10312 16285
0, 4, 1162 7613 13796 15888 16344
0, 4, 2908 5463 8395 11253 15262
